Gyagyás, lenne egy kérdésem...	Csókollak. Kérjél adatokat területi bontásban adatokat az operatív törtetől. A normális országok adnak.
Gyagyás, lenne egy kérdésem...	index.hu/belfold/2020/03/16/koronavirus_magyarorszagon_operativ_torzs_teruleti_adatok_nem_eletkor/
Miért hasonlítasz össze egy pár milliós lakosságú, nyugati fővárost egy 10 milliós, Közép-Európa-i országgal???	Csókollak. Kérjél adatokat területi bontásban adatokat az operatív törtetől. A normális országok adnak.
Miért hasonlítasz össze egy pár milliós lakosságú, nyugati fővárost egy 10 milliós, Közép-Európa-i országgal???	index.hu/belfold/2020/03/16/koronavirus_magyarorszagon_operativ_torzs_teruleti_adatok_nem_eletkor/
Teljesen hülye vagy???	Csókollak. Kérjél adatokat területi bontásban adatokat az operatív törtetől. A normális országok adnak.
Teljesen hülye vagy???	index.hu/belfold/2020/03/16/koronavirus_magyarorszagon_operativ_torzs_teruleti_adatok_nem_eletkor/
Tehat elsodikaztad te féreg! Meh, mi mast is vartunk volna?	Reggel 10 percig kerestem.
Tehat elsodikaztad te féreg! Meh, mi mast is vartunk volna?	Ma este több időm lesz, és meglesz.
Sodi, mennyibe került a Valve Index?	1079 euró.
Sodi, mennyibe került a Valve Index?	365 ezer forint
Ezt igazán elmondhattad volna a streamben.	1079 euró.
Ezt igazán elmondhattad volna a streamben.	365 ezer forint
Na jó, elmész te a büdös kurva anyádba. Ez már nagyon nem vicces.	Annyira nem kamu az 5G összefüggés, hogy még személyesen Alex Jones is foglalkozott vele. Figyelni kellene a híreket.
Látod, te hazaáruló, ha itthon élnél, most nem kéne nyögnöd a zsidókamatot!!	Trump meg 1000 dollárt ad mindenkinek. Lehet, hogy majd a németek is bejelentenek valamit.
Látod, te hazaáruló, ha itthon élnél, most nem kéne nyögnöd a zsidókamatot!!	A berlini művészeknek ma már be is jelentettek állami pénzosztást, és még nyilván jönnek lépésék.
LOL	Trump meg 1000 dollárt ad mindenkinek. Lehet, hogy majd a németek is bejelentenek valamit.
LOL	A berlini művészeknek ma már be is jelentettek állami pénzosztást, és még nyilván jönnek lépésék.
Nem tudsz feltelepíteni egy nyomorult cisco anyconnectet te fos?	OpenVPN. De faszom szórakozik ilyesmivel. Arra vannak az IT-sek.
Nem tudsz feltelepíteni egy nyomorult cisco anyconnectet te fos?	Beviszem, oszt csinálnak nekem a laptopon egy felhasználót, amivel tudok dolgozni itthon is.
Nem tudsz feltelepíteni egy nyomorult cisco anyconnectet te fos?	Jobb is így. Fasznak van kedve ezzel szarakodni.
És nem lehet venni? Üresek a polcok a Media Marktban, laptopokat halmoznak fel az emberek otthon?	Fosom le, milyen megoldások vannak. Nem ez a szakterületem.
miért?	Eleget volt bizonytalanság.
